DE_gene,logFC,AveExpr,t,P.Value
MSTRG.20554|CCT5,0.103694445,6.04809898,0.787740269,0.449465244
MSTRG.25191|STK3,-0.093572868,3.328301346,-0.584113584,0.572331326
MSTRG.1154|ODF2L,-0.050635574,2.43720295,-0.191407804,0.852110087
MSTRG.25671|FOCAD,0.08269509,4.172586588,0.736396558,0.47873082
MSTRG.2427|JMJD4,-0.027596149,2.526416911,-0.166790282,0.870923169
MSTRG.26151|TMEM246,0.032236473,2.359728285,0.160329986,0.875874808
MSTRG.8032|IFI27,-0.098725114,3.369190981,-0.591453393,0.567596258
MSTRG.1517|NBPF10|NOTCH2NL|RP11-458D21.5,0.066593899,2.585575148,0.17796435,0.862372509
MSTRG.3341|SRP9P1,-0.055499578,2.699972872,-0.333469211,0.745798782
MSTRG.12146|CDC42EP4,0.123909362,3.27367414,0.564200747,0.585286206
MSTRG.4439|PLCB3,0.06335933,2.643124837,0.269712522,0.792970377
MSTRG.17488|HORMAD2-AS1|RP3-394A18.1,-0.125839825,2.63844882,-0.324450733,0.752409818
MSTRG.5337|CD9,0.101496068,4.078493437,0.697380644,0.50175897
MSTRG.25440|CTD-3064M3.7,0.015086774,2.433174403,0.035807344,0.972154187
MSTRG.8080|DLK1,-0.085836932,2.434720204,-0.190247622,0.85299463
MSTRG.3628|SFXN4,-0.11688381,4.565491975,-0.772592905,0.457975112
MSTRG.5083|KMT2A,-0.174259771,3.899655885,-0.715023026,0.491262503
MSTRG.12763|MTCO2P2,-0.007022747,2.44388073,-0.026605666,0.97930775
MSTRG.2511|LYST,0.095898079,3.502755876,0.639380451,0.537220495
ENSG00000186376,-0.079797139,2.747510813,-0.448715744,0.663386598
MSTRG.24472|ABCB8,-0.117503467,3.505338098,-0.623706602,0.54704961
MSTRG.1244|RWDD3|TMEM56|TMEM56-RWDD3,-0.087806561,5.077942267,-0.79259738,0.446758616
MSTRG.6193|KITLG,0.136446382,3.000862852,0.422968786,0.681441139
MSTRG.10894|KDM6B,0.098165315,4.131365254,0.74493162,0.473783525
ENSG00000213047,-0.127992012,3.535449816,-0.642227534,0.535446169
MSTRG.16066|CUL3,-0.09009452,6.061700461,-0.781385929,0.453022439
MSTRG.12321|CHMP6,-0.079875882,4.095770213,-0.724205114,0.485853981
MSTRG.23200|SFT2D1,-0.036281767,2.555264755,-0.136251777,0.894378014
MSTRG.1459|HMGCS2,-0.032688687,2.164092937,-0.051361779,0.960068122
