ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
SAA1,2.622059075,1.172459392,3.243449926,0.009037437,0.644422244,-4.406032965,SAA1,TRUE
POSTN,2.38360109,2.61093557,2.92107107,0.015570732,0.644422244,-4.212222297,POSTN,TRUE
IGF1,2.270378739,1.214056685,2.219767491,0.051216169,0.645239148,-4.4332537,IGF1,MIDDLE
THY1,2.251624274,2.659934192,3.64015069,0.004681565,0.644422244,-4.097273563,THY1,TRUE
SERPINE1,2.249744972,1.675171744,3.618797378,0.004848288,0.644422244,-4.298620783,SERPINE1,TRUE
PLA2G2A,2.228343348,-0.250570175,2.363389205,0.040183803,0.644422244,-4.497550653,PLA2G2A,TRUE
ADAMTS2,2.17102974,1.909029628,4.412034949,0.001372729,0.644422244,-4.158795289,ADAMTS2,TRUE
IKBKG,2.139751382,0.410738306,1.764130877,0.108766551,0.676847611,-4.533955138,IKBKG,MIDDLE
LAD1|TNNT2,1.97996705,1.915434854,2.396023279,0.03802136,0.644422244,-4.402609123,LAD1|TNNT2,TRUE
NGFR,1.897305996,0.830810444,3.031191443,0.012921002,0.644422244,-4.38994736,NGFR,TRUE
MXRA5,1.872698917,3.489438295,3.173298731,0.010167229,0.644422244,-4.023260136,MXRA5,TRUE
DOCK11,1.815143326,0.60815876,2.277294067,0.046482542,0.644422244,-4.481410005,DOCK11,TRUE
MYBPH,1.811788486,3.534552813,2.381561781,0.038965166,0.644422244,-4.297718341,MYBPH,TRUE
COL3A1,1.79094558,7.708459835,3.342851175,0.007653433,0.644422244,-3.770770458,COL3A1,TRUE
COL1A1,1.771376463,6.199785957,2.661240639,0.024220443,0.644422244,-3.970004601,COL1A1,TRUE
VIPR1,1.758926493,0.106063311,1.971088665,0.077565387,0.671947883,-4.513883487,VIPR1,MIDDLE
SCD,1.756503091,3.366880512,3.144210411,0.010677313,0.644422244,-4.088808624,SCD,TRUE
SFRP2,1.753889387,1.327474524,1.645594618,0.131465886,0.677679199,-4.526048503,SFRP2,MIDDLE
PTPRF,1.750710724,1.193065226,2.335859641,0.042101323,0.644422244,-4.440357263,PTPRF,TRUE
CRABP2,1.750626246,0.133236141,1.892069322,0.088336373,0.676612662,-4.521052019,CRABP2,MIDDLE
OGN,1.726257444,2.552710927,2.783223111,0.019679882,0.644422244,-4.242477463,OGN,TRUE
CNBD2,1.724312592,1.373663602,2.050864319,0.067954464,0.661848022,-4.44375535,CNBD2,MIDDLE
ASPN,1.720188047,3.530218893,3.222284587,0.009364024,0.644422244,-4.021958427,ASPN,TRUE
LOX,1.70775535,1.288798669,3.409938762,0.006844643,0.644422244,-4.297451436,LOX,TRUE
TMEM119,1.662494398,0.745112283,2.897323722,0.016211051,0.644422244,-4.400744401,TMEM119,TRUE
CTHRC1,1.63559361,0.815462111,2.620225181,0.025972013,0.644422244,-4.425840969,CTHRC1,TRUE
LRRC17,1.612755356,0.926079908,3.52941106,0.005616181,0.644422244,-4.338929832,LRRC17,TRUE
GEM,1.595436778,1.674159132,3.708488401,0.004187025,0.644422244,-4.283939158,GEM,TRUE
ALG10B,1.59285606,0.99584802,2.646705309,0.024827245,0.644422244,-4.385521728,ALG10B,TRUE
NR4A2,1.590121989,0.686223974,3.522340895,0.005682082,0.644422244,-4.355518903,NR4A2,TRUE
ADIPOQ,1.585051874,0.86488817,1.399614314,0.192451302,0.717815465,-4.554177329,ADIPOQ,MIDDLE
NEURL1B,1.561162202,4.18799407,2.230644725,0.050286695,0.644422244,-4.218944481,NEURL1B,MIDDLE
KAZALD1,1.533952318,2.345844858,2.031800884,0.0701428,0.661848022,-4.402874581,KAZALD1,MIDDLE
NNMT,1.521894154,1.837659954,2.861380893,0.017231354,0.644422244,-4.351148547,NNMT,TRUE
MGP,1.516685377,4.202852429,2.547351018,0.029401382,0.644422244,-4.138122118,MGP,TRUE
DCLK1,1.5140532,3.00207286,2.765777576,0.020272686,0.644422244,-4.230820444,DCLK1,TRUE
CCDC8,1.506685535,1.467408482,2.367424641,0.039910004,0.644422244,-4.420505823,CCDC8,TRUE
MSTRG.19228|RPL22L1,1.480804693,0.749154483,1.760727776,0.10936505,0.676847611,-4.5251192,,FALSE
MSTRG.8403|THBS1,1.480245652,3.082418066,1.730416879,0.114830006,0.676847611,-4.446239643,,FALSE
MSTRG.18411|CISH,1.467352612,1.457337623,2.933236983,0.015252692,0.644422244,-4.342122073,,FALSE
MSTRG.11927|YPEL2,1.466351115,3.002836198,2.088338299,0.06384061,0.65995621,-4.269448671,,FALSE
MSTRG.19015|RBP1,1.462159442,1.825924424,2.322516176,0.043062644,0.644422244,-4.397871959,,FALSE
MSTRG.16909|CH507-42P11.8,1.444451486,1.564885494,2.640949719,0.025071701,0.644422244,-4.406586618,,FALSE
MSTRG.21361|MTND4LP30|MTND4P12,1.443800639,5.984043473,0.678492005,0.513148132,0.875742622,-4.714321221,,FALSE
MSTRG.27476|BGN,1.438897352,3.819547424,2.595189543,0.027102727,0.644422244,-4.111242802,,FALSE
MSTRG.4231|MDK,1.436439378,0.607645497,3.727826066,0.004057215,0.644422244,-4.338521165,,FALSE
MSTRG.25329|COL14A1,1.434459723,3.529412838,2.392394141,0.038256079,0.644422244,-4.238106459,,FALSE
MSTRG.23218|THBS2,1.432114383,2.171804627,2.388758741,0.038492629,0.644422244,-4.362236036,,FALSE
MSTRG.12940|FSTL3,1.39989819,1.306803708,2.242952358,0.049254684,0.644422244,-4.453089727,,FALSE
MSTRG.1882|ADAMTS4,1.394844265,0.2491522,3.077816408,0.011942113,0.644422244,-4.431365374,,FALSE
MSTRG.3769|SCT,1.392618591,0.977857727,2.230720097,0.050280311,0.644422244,-4.446878516,,FALSE
MSTRG.23551|SFRP4,1.386467124,3.410062559,2.552613742,0.029139304,0.644422244,-4.180492078,,FALSE
MSTRG.2129|PRG4,1.378296447,2.033942007,1.655088509,0.129501602,0.677024313,-4.498493937,,FALSE
MSTRG.14977|LBX2-AS1,1.37646946,0.128676815,2.914857499,0.015735754,0.644422244,-4.43640103,,FALSE
MSTRG.19814|KIT,1.362775613,1.172738714,2.298021028,0.044883442,0.644422244,-4.44380301,,FALSE
MSTRG.4165|PAMR1,1.348180291,1.094538406,1.644245296,0.131747219,0.677679199,-4.53096879,,FALSE
MSTRG.24278|MEST,1.346942555,2.109572782,4.134987789,0.002113054,0.644422244,-4.138720012,,FALSE
MSTRG.17629|MAFF,1.339394943,2.185068264,2.568108137,0.028381102,0.644422244,-4.390780332,,FALSE
MSTRG.1842|FCER1A,1.331279318,-0.025427232,2.407778325,0.037270757,0.644422244,-4.4685423,,FALSE
MSTRG.5435|LINC00987,1.321700595,-0.138321587,1.637343969,0.133194601,0.678494446,-4.548568167,,FALSE
MSTRG.27287|CAPN6,1.314926538,2.758880891,3.951771598,0.002826599,0.644422244,-4.035133579,,FALSE
MSTRG.17079|RUNX1,1.312492018,2.527965503,3.154082793,0.010501316,0.644422244,-4.2169356,,FALSE
MSTRG.8901|SENP8,1.301238429,1.402838437,2.406151211,0.037373779,0.644422244,-4.422687844,,FALSE
MSTRG.22215|C2|CFB|XXbac-BPG116M5.17,1.296943965,1.254301586,2.112658794,0.061299069,0.659130686,-4.461692001,,FALSE
MSTRG.5530|RERGL,1.296398807,0.274331779,2.06782053,0.066062693,0.661848022,-4.482698903,,FALSE
ENSG00000162944,1.295287955,0.493612408,4.360024038,0.001487306,0.644422244,-4.289024246,,FALSE
MSTRG.6679|FZD10-AS1,1.279645598,0.316104361,3.575126468,0.005208799,0.644422244,-4.392085901,,FALSE
MSTRG.24569|ANGPT2,1.27499001,1.760744968,2.936585407,0.015166321,0.644422244,-4.295514623,,FALSE
MSTRG.11995|CTD-3035K23.7,1.273432843,0.089343599,2.360629877,0.040372077,0.644422244,-4.485073393,,FALSE
MSTRG.20760|FST,1.264516396,0.984628084,2.477904507,0.033086698,0.644422244,-4.44365481,,FALSE
MSTRG.10318|RP11-71L14.3|SMPD3,1.263521512,1.327202262,1.976158549,0.076918242,0.671947883,-4.480901602,,FALSE
MSTRG.8935|CYP11A1,1.262955404,-0.820288053,1.406718286,0.19039519,0.714912551,-4.570918537,,FALSE
ENSG00000139146,1.262904141,0.139653669,2.808022001,0.018867136,0.644422244,-4.443212352,,FALSE
MSTRG.26509|COL5A1,1.250047283,4.890586888,2.962179098,0.014522342,0.644422244,-3.879625265,,FALSE
ENSG00000181722,1.246681848,-0.150795705,1.481710306,0.169812727,0.702808126,-4.563089352,,FALSE
MSTRG.1623|CTSK,1.238972149,3.040124323,2.778798739,0.019828551,0.644422244,-4.196152442,,FALSE
MSTRG.11383|RP11-799D4.4,1.236483887,0.188389594,1.490808111,0.167451609,0.702808126,-4.557884414,,FALSE
MSTRG.11405|CCL14|CCL15|CCL15-CCL14,1.231582431,3.057128035,3.838753446,0.00338956,0.644422244,-3.943570843,,FALSE
MSTRG.17569|HMOX1,1.224335176,4.144294542,2.141459067,0.058414558,0.655075575,-4.219735869,,FALSE
MSTRG.14122|CLEC11A,1.223063483,0.615232103,2.761311904,0.0204273,0.644422244,-4.419399649,,FALSE
MSTRG.26863|SRPX,1.212040909,1.608204962,3.922969431,0.002960055,0.644422244,-4.236970777,,FALSE
MSTRG.23911|COL1A2,1.201188684,7.236845063,2.708222017,0.022358828,0.644422244,-3.971401819,,FALSE
ENSG00000174705,1.198613792,1.627503622,1.685057982,0.123472899,0.676847611,-4.505390552,,FALSE
MSTRG.15615|CHN1,1.185514581,0.537315345,2.551687461,0.029185263,0.644422244,-4.438761677,,FALSE
MSTRG.10940|MYH8,1.183846994,4.487677232,1.820141146,0.099337994,0.676847611,-4.427324438,,FALSE
MSTRG.9910|RP11-426C22.5|RRN3P2,1.176448073,-0.977731237,0.874440884,0.402780736,0.830739304,-4.602204229,,FALSE
MSTRG.25248|UBR5-AS1,1.175035645,1.330073763,3.546940999,0.005456187,0.644422244,-4.271322536,,FALSE
ENSG00000112936,1.172255535,0.129227746,1.360365661,0.204154023,0.727492211,-4.565304215,,FALSE
MSTRG.23650|FKBP9P1,1.166381556,-1.152231687,0.794935142,0.445459735,0.845542247,-4.605635009,,FALSE
MSTRG.19498|MYL5,1.165160767,2.892633328,2.066860995,0.066168395,0.661848022,-4.360044543,,FALSE
MSTRG.6207|LUM,1.162872194,5.103372728,2.913029155,0.015784649,0.644422244,-3.881376821,,FALSE
MSTRG.7327|MMP14,1.160490375,3.606520733,2.948443296,0.014864426,0.644422244,-4.038660339,,FALSE
MSTRG.13218|ICAM1,1.159776623,2.246825373,2.147543117,0.057822088,0.655075575,-4.403961881,,FALSE
ENSG00000117600,1.155755202,0.868078541,3.160053117,0.010396328,0.644422244,-4.347189992,,FALSE
ENSG00000044524,1.155747129,1.011743327,2.598568473,0.026947302,0.644422244,-4.419105848,,FALSE
MSTRG.986|HSD52,1.151222953,1.136507384,1.205905098,0.256136484,0.757606993,-4.575679376,,FALSE
MSTRG.5366|CD4,1.150704561,1.537378182,2.847408318,0.017645321,0.644422244,-4.345078065,,FALSE
MSTRG.9052|MESDC1,1.144315098,1.228530346,3.563206496,0.005311968,0.644422244,-4.309574722,,FALSE
MSTRG.9383|TPSB2,1.143293746,1.082006744,0.797150185,0.444231341,0.845112894,-4.611609903,,FALSE
MSTRG.16705|PLTP,1.140058127,3.051352437,3.53667397,0.00554931,0.644422244,-4.046218834,,FALSE
MSTRG.10223|CDH11|RP11-229O3.1,1.133908119,1.681575278,2.032175452,0.070099166,0.661848022,-4.44881707,,FALSE
MSTRG.18726|CCDC80,1.12140955,5.032573112,3.067779122,0.012146246,0.644422244,-3.830292727,,FALSE
MSTRG.3659|HTRA1,1.119594486,3.834797798,2.899789141,0.01614335,0.644422244,-4.034435447,,FALSE
MSTRG.10783|CXCL16,1.112074508,0.556735999,2.169494997,0.05573203,0.655075575,-4.486419724,,FALSE
MSTRG.26712|XG,1.110281327,0.794408326,1.89605315,0.087761452,0.67542725,-4.505111114,,FALSE
MSTRG.7396|CTSG,1.106925862,0.3498028,1.951419566,0.080124872,0.674817722,-4.519530864,,FALSE
MSTRG.9027|ADAMTS7,1.106518132,0.850928223,1.67032983,0.126403288,0.676847611,-4.526087105,,FALSE
MSTRG.26241|TNC,1.101565393,2.951802409,1.560366214,0.150327013,0.693603893,-4.481629418,,FALSE
ENSG00000183098,1.099311376,0.522249989,2.674261924,0.023689456,0.644422244,-4.440221384,,FALSE
MSTRG.19119|IGSF10,1.098335319,0.446306921,2.179927324,0.054764428,0.655075575,-4.485080234,,FALSE
ENSG00000165025,1.097502466,0.284657289,3.11824913,0.011154697,0.644422244,-4.42057141,,FALSE
MSTRG.10137|MMP2|RP11-212I21.3,1.091425436,5.748878944,3.945533598,0.002854957,0.644422244,-3.509755845,,FALSE
MSTRG.27159|APOOL,1.086238009,4.207036984,1.646802956,0.131214405,0.677679199,-4.398180825,,FALSE
MSTRG.9547|GLIS2,1.085233311,2.005796561,3.174134717,0.010152945,0.644422244,-4.272888241,,FALSE
ENSG00000198393,1.084470456,0.479591929,2.102079451,0.062392514,0.65995621,-4.496354574,,FALSE
MSTRG.23591|AEBP1|MIR4649,1.083678834,3.677013941,1.930609461,0.082919079,0.675175838,-4.327064511,,FALSE
MSTRG.534|RP11-442N24__B.1,1.083225265,-0.883126709,0.82126577,0.431002982,0.840369712,-4.604775878,,FALSE
MSTRG.19752|UCHL1,1.083214381,2.799801064,2.113923175,0.06116962,0.659130686,-4.327186951,,FALSE
ENSG00000168404,1.082158245,1.20814662,5.114474647,0.000482809,0.644422244,-4.194532383,,FALSE
MSTRG.23169|FNDC1,1.080427982,3.573032347,2.245022799,0.049083103,0.644422244,-4.268911129,,FALSE
MSTRG.14065|RCN3,1.07937861,2.088060789,2.881603602,0.016649547,0.644422244,-4.29255075,,FALSE
MSTRG.16156|ARL4C,1.079277661,1.200858176,2.632986986,0.02541387,0.644422244,-4.41334768,,FALSE
MSTRG.9999|HSD3B7,1.07828194,1.344354863,2.353249734,0.040879894,0.644422244,-4.44520983,,FALSE
MSTRG.5135|OAF,1.077791558,3.083840383,3.35013139,0.00756108,0.644422244,-4.0257533,,FALSE
MSTRG.2110|RGL1,1.077120785,2.340843686,3.612340847,0.004899908,0.644422244,-4.133673131,,FALSE
MSTRG.24835|SFRP1,1.070404518,0.983500016,2.330611019,0.042476929,0.644422244,-4.453005504,,FALSE
MSTRG.1903|OLFML2B,1.066364309,3.543723604,2.654788046,0.024487965,0.644422244,-4.115730925,,FALSE
MSTRG.3005|LINC00844,1.063327406,1.954615223,2.32972885,0.04254038,0.644422244,-4.381736429,,FALSE
ENSG00000186417,1.060982019,-0.073256123,2.412435608,0.036977417,0.644422244,-4.455324796,,FALSE
MSTRG.1261|SNX7,1.059206774,1.757123677,1.665334613,0.127411307,0.676847611,-4.505873928,,FALSE
ENSG00000161328,1.055330014,0.690502938,2.176567258,0.055074295,0.655075575,-4.468699893,,FALSE
MSTRG.1056|GADD45A,1.053230541,3.44588271,2.920487825,0.015586147,0.644422244,-4.132379199,,FALSE
MSTRG.16658|EMILIN3,1.05292063,0.457788379,3.073411073,0.012031271,0.644422244,-4.398453705,,FALSE
ENSG00000159588,1.051035024,-0.112040098,2.24636663,0.048972048,0.644422244,-4.484222142,,FALSE
ENSG00000235505,1.050984568,0.73182794,3.707079473,0.00419665,0.644422244,-4.311989952,,FALSE
MSTRG.15533|DPP4,1.047505315,1.824788917,2.057010713,0.067262845,0.661848022,-4.441537611,,FALSE
MSTRG.16565|PROCR,1.047115909,1.821926328,3.273548222,0.008593069,0.644422244,-4.254852646,,FALSE
MSTRG.15735|COL5A2,1.046155199,4.808481676,3.157495987,0.010441163,0.644422244,-3.8013631,,FALSE
MSTRG.13086|SEMA6B,1.045494292,2.255455262,3.266956911,0.00868842,0.644422244,-4.204193125,,FALSE
MSTRG.5379|PTPN6,1.045373598,0.802016158,2.595682633,0.02707999,0.644422244,-4.428173528,,FALSE
MSTRG.394|C1QC,1.044595295,2.360632183,2.721540171,0.02185769,0.644422244,-4.295187949,,FALSE
MSTRG.9032|TMED3,1.044265266,1.126625873,3.092696109,0.011645927,0.644422244,-4.364790085,,FALSE
MSTRG.13672|CLIP3,1.039784626,0.748022623,2.158948673,0.056726923,0.655075575,-4.477507584,,FALSE
MSTRG.27286|CHRDL1,1.03863555,3.185832472,3.051595542,0.012482916,0.644422244,-4.057522715,,FALSE
MSTRG.14981|LOXL3,1.037791249,1.251143836,3.519485251,0.005708927,0.644422244,-4.315292317,,FALSE
MSTRG.27401|GPC3,1.035984317,0.866380462,1.986487007,0.075615577,0.670526854,-4.487316251,,FALSE
MSTRG.5538|PLEKHA5,1.032560453,1.509079756,2.940742571,0.015059779,0.644422244,-4.324085093,,FALSE
MSTRG.7664|DACT1,1.031261542,1.055402491,2.730362676,0.02153194,0.644422244,-4.403825131,,FALSE
MSTRG.2175|PKP1,1.027122616,0.938608497,1.358589533,0.204697518,0.727492211,-4.560673323,,FALSE
ENSG00000151388,1.025473578,1.057266659,2.866414968,0.017084628,0.644422244,-4.37439315,,FALSE
MSTRG.16131|CHRNG,1.021169905,3.039079798,1.35973987,0.204345376,0.727492211,-4.538829402,,FALSE
MSTRG.5936|DGKA,1.020276933,1.015853123,3.385598256,0.007127354,0.644422244,-4.335059463,,FALSE
MSTRG.5995|ARHGAP9,1.017809775,-0.092404006,1.373332787,0.200222825,0.725356787,-4.57152214,,FALSE
MSTRG.20932|IQGAP2,1.017590752,0.949032074,2.816862053,0.018585673,0.644422244,-4.40103564,,FALSE
MSTRG.1611|ECM1,1.015473931,2.811633683,3.343487272,0.007645318,0.644422244,-4.124382239,,FALSE
MSTRG.15614|CHRNA1,1.01153128,4.175841687,2.172500433,0.0554516,0.655075575,-4.268014616,,FALSE
MSTRG.20772|HSPB3,1.009780874,3.83248001,1.550203672,0.152728806,0.693721945,-4.449318458,,FALSE
MSTRG.10395|ZNF821,1.008841353,-0.304921188,1.057396853,0.31567625,0.782241786,-4.592293222,,FALSE
MSTRG.24541|ZNF596,1.007051249,0.641574282,2.316511265,0.043502225,0.644422244,-4.457850007,,FALSE
MSTRG.3177|PLAU,1.007041064,3.869382138,2.923218428,0.015514111,0.644422244,-4.01711557,,FALSE
MSTRG.20115|CCDC109B,1.006274784,0.603292153,2.090941167,0.063563868,0.65995621,-4.490357585,,FALSE
MSTRG.21605|SPARC,1.005308441,8.212653669,3.441483849,0.006495421,0.644422244,-3.782563831,,FALSE
MSTRG.20094|NPNT,1.004792052,1.483225163,1.61601057,0.137759156,0.682718762,-4.517197894,,FALSE
MSTRG.7755|PLEKHH1,1.003300398,1.105895691,3.11412156,0.011232586,0.644422244,-4.368845101,,FALSE
MSTRG.19682|SOD3,1.001655934,1.892022116,2.381860982,0.038945408,0.644422244,-4.372243217,,FALSE
MSTRG.19599|SH3TC1,0.997946276,0.985060153,2.197873676,0.053137657,0.647811087,-4.460147499,,FALSE
MSTRG.1284|VCAM1,0.996743109,0.602188777,1.666563617,0.127162629,0.676847611,-4.534469505,,FALSE
MSTRG.8928|LOXL1,0.996654916,1.919917676,2.079908749,0.064744768,0.661848022,-4.437553249,,FALSE
MSTRG.2709|FAM107B,0.995834308,1.850959906,3.789934345,0.003667997,0.644422244,-4.21092361,,FALSE
MSTRG.26928|TIMP1,0.99527035,3.332797048,2.930254066,0.015330056,0.644422244,-4.106916568,,FALSE
MSTRG.12538|RAB31,0.993060852,2.501007492,2.262635416,0.047646776,0.644422244,-4.341595957,,FALSE
ENSG00000143127,0.991866513,0.315296037,1.838359871,0.096437307,0.676612662,-4.520987785,,FALSE
MSTRG.10485|CMIP,0.989815222,2.410622433,3.362678969,0.0074046,0.644422244,-4.142673901,,FALSE
ENSG00000132205,0.986860628,1.396851916,2.768048408,0.020194516,0.644422244,-4.376586168,,FALSE
MSTRG.3367|PLCE1,0.985622826,2.719614589,2.015248477,0.072096953,0.661848022,-4.394012157,,FALSE
ENSG00000143797,0.983465158,1.082661024,2.777314144,0.01987869,0.644422244,-4.375595741,,FALSE
ENSG00000141052,0.982234383,0.292117209,1.55335895,0.1519795,0.693603893,-4.54780225,,FALSE
MSTRG.24792|ADGRA2,0.981083584,3.744678249,2.647971092,0.024773804,0.644422244,-4.067046468,,FALSE
MSTRG.15835|HNRNPA1P35,0.980854935,0.563029845,1.134684442,0.283474977,0.771778634,-4.5859324,,FALSE
MSTRG.26435|LINC00963|RP11-492E3.51,0.978585465,2.922645903,2.379639477,0.039092341,0.644422244,-4.32318415,,FALSE
MSTRG.23630|FIGNL1,0.977481301,1.388169892,1.886335255,0.089170043,0.676612662,-4.490910346,,FALSE
MSTRG.6379|SELPLG,0.97669739,0.917296588,2.3357083,0.042112108,0.644422244,-4.449273646,,FALSE
MSTRG.8507|MAP1A,0.976027578,3.631865292,2.093706946,0.063271061,0.65995621,-4.290046271,,FALSE
MSTRG.9167|PLIN1,0.975719666,2.055846048,1.37252641,0.200465413,0.725580489,-4.536969778,,FALSE
MSTRG.12430|METRNL,0.975019133,1.037135413,2.20505731,0.052499642,0.645239148,-4.460472148,,FALSE
MSTRG.9511|MMP25-AS1,0.974874449,1.359777698,2.610736754,0.026394906,0.644422244,-4.386406325,,FALSE
MSTRG.21999|ID4,0.973820653,0.745035877,2.044441454,0.068684414,0.661848022,-4.485587159,,FALSE
ENSG00000205795,0.971132827,0.622117472,2.355606959,0.040717021,0.644422244,-4.463207378,,FALSE
MSTRG.15519|CD302|LY75|LY75-CD302,0.97061987,3.111209714,2.658029599,0.024353204,0.644422244,-4.166034383,,FALSE
ENSG00000107130,0.970200648,0.548663238,1.64677325,0.131220582,0.677679199,-4.538733599,,FALSE
MSTRG.24470|NOS3,0.96517676,1.462132231,2.104574458,0.06213297,0.65995621,-4.449100612,,FALSE
MSTRG.13958|PNMAL1,0.963712092,0.876736201,1.390287386,0.195179465,0.722032261,-4.560475628,,FALSE
MSTRG.15242|AC108938.5|GPAA1P2|LIMS3L|RP13-1039J1.2|RP13-1039J1.4,0.963475834,1.123700533,1.724617601,0.115903528,0.676847611,-4.524373273,,FALSE
MSTRG.3668|CPXM2,0.959625031,2.103880663,1.556109865,0.151328866,0.693603893,-4.511709626,,FALSE
MSTRG.13401|HSH2D|RAB8A,0.955959365,1.770719843,2.270866031,0.046989632,0.644422244,-4.401983149,,FALSE
ENSG00000048342,0.955932036,1.230636735,2.758990331,0.020508147,0.644422244,-4.385668992,,FALSE
ENSG00000167173,0.954609016,1.525637133,3.286085539,0.008414665,0.644422244,-4.289721913,,FALSE
MSTRG.11204|RAB34,0.95393982,2.095154601,2.652912354,0.024566283,0.644422244,-4.315050143,,FALSE
MSTRG.9227|FAM174B|RP11-386M24.4|RP11-386M24.8,0.953119798,1.998635958,1.668003832,0.12687177,0.676847611,-4.494399615,,FALSE
ENSG00000036530,0.952917646,-0.032119291,1.875270607,0.090799469,0.676612662,-4.527319051,,FALSE
MSTRG.22979|NHSL1,0.95277417,0.836266072,2.452431659,0.034550039,0.644422244,-4.445500971,,FALSE
MSTRG.24457|RARRES2,0.948055274,1.563581158,2.429349931,0.035931042,0.644422244,-4.397047055,,FALSE
MSTRG.19161|LXN,0.945698446,1.390160854,2.367778807,0.039886062,0.644422244,-4.387776134,,FALSE
ENSG00000197496,0.945630665,0.958521556,3.028916553,0.012970808,0.644422244,-4.376490818,,FALSE
ENSG00000166073,0.945085049,1.379332604,3.025112244,0.013054535,0.644422244,-4.330031771,,FALSE
MSTRG.8910|RP11-1007O24.3,0.941479712,0.348977638,2.579663878,0.027828434,0.644422244,-4.432262982,,FALSE
MSTRG.22976|PERP,0.939808903,0.786526345,2.078390758,0.064908881,0.661848022,-4.475520742,,FALSE
ENSG00000177732,0.939232705,0.614840783,2.331610681,0.042405139,0.644422244,-4.463520402,,FALSE
MSTRG.20529|CTD-2194D22.3,0.937254564,0.195094694,0.867284678,0.406502701,0.832323243,-4.605966077,,FALSE
ENSG00000206538,0.936226519,2.546731944,2.568088944,0.028382029,0.644422244,-4.279763887,,FALSE
ENSG00000066294,0.934123879,0.58077222,2.558360745,0.02885576,0.644422244,-4.449028764,,FALSE
MSTRG.2623|LINC00702,0.934051883,1.51572168,2.009723375,0.072760637,0.66356051,-4.458281221,,FALSE
ENSG00000023171,0.931516188,1.486220051,1.874936035,0.090849168,0.676612662,-4.478664971,,FALSE
MSTRG.13717|ZNF573,0.929438658,-0.043621163,2.009104686,0.072835314,0.663659367,-4.511077605,,FALSE
MSTRG.6170|MYF5,0.929116106,1.32573025,3.193745508,0.009823698,0.644422244,-4.339574555,,FALSE
MSTRG.23278|LFNG,0.928462802,1.632458321,3.799460409,0.003611843,0.644422244,-4.21721087,,FALSE
MSTRG.23748|GTF2IRD2P1,0.928339144,1.940415593,0.819638151,0.431887398,0.840637277,-4.622049054,,FALSE
MSTRG.11519|FKBP10,0.927789837,2.650782115,2.48268,0.032819255,0.644422244,-4.291814304,,FALSE
MSTRG.7208|COL4A1,0.925695305,6.982802028,2.759695238,0.020483565,0.644422244,-3.952072234,,FALSE
ENSG00000140287,0.925023603,0.283697593,2.995820247,0.01371794,0.644422244,-4.426536797,,FALSE
MSTRG.1838|IFI16,0.922999869,4.107424848,4.138361508,0.002101852,0.644422244,-3.605603533,,FALSE
MSTRG.17636|KDELR3,0.921361595,0.559192601,1.751917359,0.11092854,0.676847611,-4.527319718,,FALSE
MSTRG.13828|TGFB1,0.921280785,2.456368912,1.828275618,0.098033049,0.676847611,-4.446383932,,FALSE
MSTRG.13093|FEM1A,0.920593537,8.380354204,1.645154635,0.131557563,0.677679199,-4.410815067,,FALSE
MSTRG.22012|CASC15,0.919913818,0.532969469,2.581915526,0.027722,0.644422244,-4.44138741,,FALSE
MSTRG.4078|ZDHHC13,0.916990095,0.078637563,2.290757205,0.04543766,0.644422244,-4.486316191,,FALSE
MSTRG.19001|EEF1A1P25,0.916349863,2.228241824,2.791127303,0.019417073,0.644422244,-4.300291949,,FALSE
MSTRG.6280|IKBIP,0.915517557,0.86808297,2.05870531,0.067073342,0.661848022,-4.47978009,,FALSE
MSTRG.23616|IGFBP3,0.915357721,3.907803125,4.339129848,0.001536147,0.644422244,-3.592030533,,FALSE
MSTRG.7350|SLC22A17,0.914139764,0.473759014,1.318509901,0.217288747,0.734303407,-4.567626323,,FALSE
MSTRG.25323|CYCSP23|ENPP2,0.912990135,3.28340085,3.206162617,0.009620914,0.644422244,-4.004277803,,FALSE
ENSG00000163823,0.908025408,0.2468662,2.217266553,0.051432216,0.645239148,-4.496849953,,FALSE
MSTRG.12440|COLEC12,0.907454914,3.608417898,2.295832318,0.04504974,0.644422244,-4.218265406,,FALSE
ENSG00000111424,0.906047419,0.643011493,4.252068113,0.001758681,0.644422244,-4.315527127,,FALSE
MSTRG.24163|CAV1,0.904774668,6.333785668,3.34446364,0.007632878,0.644422244,-3.720558816,,FALSE
MSTRG.1019|DLEU2L|EFCAB7,0.904623319,2.185368537,1.908359081,0.086007506,0.675175838,-4.4555032,,FALSE
MSTRG.8538|SORD,0.90432291,0.95491847,2.422905235,0.036326251,0.644422244,-4.429226312,,FALSE
MSTRG.741|FOXO6,0.903543959,0.688058824,2.283478197,0.045999717,0.644422244,-4.461075423,,FALSE
MSTRG.26020|ECM2,0.902768571,3.556568089,3.256976226,0.008834881,0.644422244,-3.95560834,,FALSE
MSTRG.3357|MYOF,0.902441779,3.511934359,2.701211653,0.02262723,0.644422244,-4.130177727,,FALSE
MSTRG.15536|FAP,0.901160004,2.780250918,4.043265183,0.002443019,0.644422244,-4.006557283,,FALSE
MSTRG.16617|SRC,0.900609812,0.652447793,2.146750308,0.057898964,0.655075575,-4.482646042,,FALSE
MSTRG.1641|MLLT11,0.899410413,3.454785424,1.751362134,0.111027751,0.676847611,-4.397516263,,FALSE
