ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
MSTRG.6699|FBRSL1,-0.117292013,4.785339593,-1.065655775,0.312107029,0.781248631,-4.610273412,,FALSE
MSTRG.16523|PXMP4,-0.117305052,3.076487016,-0.77082511,0.458975061,0.852808357,-4.658915906,,FALSE
MSTRG.12935|CDC34,-0.117351282,4.47456848,-0.925306192,0.377009949,0.814943104,-4.65261421,,FALSE
MSTRG.14947|ALMS1,-0.117355156,1.976956806,-0.588987928,0.569184356,0.894135314,-4.651247065,,FALSE
MSTRG.14768|RTN4,-0.117438597,8.639025898,-0.696713884,0.502158349,0.870180142,-4.695900766,,FALSE
MSTRG.23833|MAGI2,-0.11745191,1.862775978,-0.48323637,0.639532568,0.922118525,-4.659537734,,FALSE
MSTRG.5116|HMBS,-0.117463056,4.123799186,-0.738241204,0.477658819,0.860615189,-4.695690711,,FALSE
MSTRG.24472|ABCB8,-0.117503467,3.505338098,-0.623706602,0.54704961,0.886913744,-4.696708013,,FALSE
MSTRG.13633|ZNF181,-0.117575172,3.993968454,-0.756404366,0.467184955,0.856467396,-4.689392593,,FALSE
MSTRG.13062|MAP2K2,-0.117638895,6.288694142,-1.075577394,0.307860084,0.780992218,-4.606006794,,FALSE
MSTRG.11817|ACSF2,-0.11765853,4.454559834,-1.022102579,0.331279023,0.790743547,-4.622346832,,FALSE
MSTRG.6150|ZDHHC17,-0.11769153,4.432267496,-1.066200805,0.311872574,0.781248631,-4.607598835,,FALSE
MSTRG.14479|ASXL2,-0.117766734,4.650391934,-0.991003329,0.345500078,0.799818907,-4.634468722,,FALSE
MSTRG.16189|ILKAP,-0.117773711,4.157063279,-0.822178634,0.430507484,0.840250311,-4.675252147,,FALSE
MSTRG.26528|SDCCAG3,-0.117836943,3.378901561,-0.729052941,0.483013578,0.863314554,-4.671929122,,FALSE
MSTRG.5256|AC215219.2|WASH7P,-0.117940218,3.715898012,-0.847324188,0.417009489,0.83560114,-4.660909559,,FALSE
MSTRG.12391|MIR6787|SLC16A3,-0.117942247,6.435815687,-0.675935963,0.514701254,0.8762974,-4.721769198,,FALSE
MSTRG.11216|ERAL1,-0.117955569,4.947615137,-0.60562377,0.558516502,0.891725543,-4.742414408,,FALSE
MSTRG.2972|LINC00843|TIMM23B,-0.118039747,3.630862597,-0.666712465,0.520329187,0.878385451,-4.697641318,,FALSE
MSTRG.13550|ZNF91,-0.118071497,3.900898353,-1.205903025,0.256137248,0.757606993,-4.559902794,,FALSE
MSTRG.23736|STAG3L3,-0.118185712,3.252121073,-0.916081972,0.381594251,0.817710944,-4.633022909,,FALSE
MSTRG.20417|CEP44,-0.118189777,2.373698058,-0.439164102,0.670058894,0.927230653,-4.677726416,,FALSE
MSTRG.15175|TBC1D8,-0.118215928,5.775269509,-1.029959985,0.327756232,0.788182993,-4.623074362,,FALSE
MSTRG.13643|LGI4,-0.118238157,3.889620712,-0.319072188,0.756362673,0.951109472,-4.76231593,,FALSE
MSTRG.21233|SRFBP1,-0.118278382,2.626711644,-0.657544335,0.525959609,0.880419992,-4.662512144,,FALSE
MSTRG.17232|DIP2A,-0.118293628,4.781972254,-1.254855087,0.238605469,0.746686569,-4.542350491,,FALSE
MSTRG.20047|LAMTOR3,-0.118293861,4.293956236,-0.854220711,0.413358466,0.834418277,-4.670007794,,FALSE
MSTRG.10517|TAF1C,-0.118430446,4.057218727,-0.745434124,0.473493269,0.859669011,-4.690950505,,FALSE
MSTRG.9102|EGLN1P1|SCAND2P,-0.118514796,2.799192984,-0.33672743,0.743415622,0.947718666,-4.699573576,,FALSE
MSTRG.9096|GOLGA6L5P|RP11-182J1.12|UBE2Q2P1,-0.118547647,2.512689306,-0.766257836,0.461565085,0.853920977,-4.645556085,,FALSE
MSTRG.552|PUM1,-0.118615601,5.533486598,-0.768831637,0.460104363,0.852808357,-4.703148083,,FALSE
MSTRG.16280|IDH3B,-0.118739465,6.169831939,-0.86767731,0.406297877,0.832323243,-4.672272086,,FALSE
MSTRG.8156|ZBTB42,-0.11890351,1.759707001,-0.443043576,0.667345205,0.926026186,-4.656475516,,FALSE
MSTRG.20247|MGST2,-0.118924089,4.531454739,-0.815877863,0.433935319,0.84066789,-4.684434683,,FALSE
